Profile,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Name,,Santa Maria Basin,Tehachapi Mountains,Great Valley,Ophiolitic Terranes,Sierra Nevada Batholith,Continental Borderland,Ventura Basin,Los Angeles Basin,W Mojave,China Lake Basin,Eastern California Shear Zone,E Mojave,Peninsular Range Batholith,Salton Trough,Proterozoic Terranes
,-39.0,4654.5692,4628.673725,4388.154118,4486.245136,4650.519715,4493.524825,4704.63233,4695.738927,4753.306874,4595.417905,4600.87088,4514.461415,4031.423856,4638.734471,4542.284721
,-38.5,4653.267793,4625.936225,4390.542434,4485.952092,4638.95218,4495.259243,4707.660715,4688.200688,4753.359562,4582.726136,4591.835606,4509.504706,4026.868558,4631.820957,4540.724095
,-38.0,4648.006674,4625.415194,4393.111269,4484.737009,4622.781918,4496.817339,4704.880527,4676.024952,4749.340627,4567.373599,4585.614987,4507.65935,4021.724195,4618.226736,4537.408216
,-37.5,4642.673526,4622.875963,4394.379116,4483.072803,4592.091,4499.046786,4701.521376,4662.344145,4742.001842,4550.18985,4575.36797,4503.134498,4016.148447,4605.080746,4534.128643
,-37.0,4632.561034,4620.508693,4395.740681,4481.321715,4492.783649,4501.562407,4693.763837,4647.918112,4731.558039,4534.771515,4565.719677,4500.707851,4008.201642,4587.987374,4529.840377
,-36.5,4624.440588,4613.932449,4396.910854,4480.412695,4363.58832,4504.171557,4691.879204,4641.558608,4719.497682,4521.749931,4550.404225,4495.753933,4001.505344,4575.448551,4528.041319
,-36.0,4612.280577,4608.932188,4398.171157,4480.800846,4178.165548,4506.892314,4687.964994,4636.650181,4711.317528,4517.030857,4539.921992,4494.155383,3993.215732,4560.465121,4525.783287
,-35.5,4600.160269,4603.969881,4399.433037,4481.188082,3967.850677,4509.615298,4684.058208,4631.636617,4703.078516,4512.344948,4529.465436,4492.576382,3985.109992,4545.539562,4523.524479
,-35.0,4585.713095,4596.500696,4400.386567,4484.168447,3833.555436,4512.191407,4678.001015,4626.929423,4701.481346,4518.693168,4524.479777,4494.106044,3976.115848,4528.501549,4521.094237
,-34.5,4571.634963,4589.665467,4401.165832,4487.290154,3785.721572,4514.924271,4671.803072,4621.737009,4699.54075,4525.17476,4519.296886,4495.763099,3967.348681,4511.475829,4518.725463
,-34.0,4556.886644,4571.71208,4401.591065,4495.494479,3756.918766,4517.220227,4662.149846,4616.329596,4701.034298,4541.550434,4516.07341,4500.719408,3958.766943,4492.252795,4516.670458
,-33.5,4542.193437,4553.902964,4402.016993,4503.709958,3728.270961,4519.512395,4652.508304,4610.572488,4702.489389,4557.996632,4512.843076,4505.698804,3950.407463,4473.117182,4514.610246
,-33.0,4529.31704,4510.935194,4402.151561,4517.549535,3707.302003,4521.567216,4638.394883,4602.628531,4693.871961,4575.227778,4501.211038,4513.147624,3942.19875,4452.350119,4513.617955
,-32.5,4516.486082,4413.696028,4402.289385,4327.365398,3686.476597,4523.613287,4624.244125,4594.000062,4684.810627,4592.587751,4489.615509,4520.624667,3934.128689,4431.684975,4512.626828
,-32.0,4507.699781,4217.765044,4403.118443,4020.331899,3671.049362,4525.625698,4610.431342,4582.10313,4624.238912,4591.218874,4408.144906,4526.978155,3926.442618,4410.26729,4513.185463
,-31.5,4498.93902,3961.494625,4383.611511,3986.4513,3655.707543,4527.594498,4596.570265,4569.984148,4521.729585,4589.0408,4144.900915,4533.353464,3918.861657,4388.96095,4513.742138
,-31.0,4495.574594,3752.377589,4239.073987,4001.936455,3642.157759,4529.654045,4593.757609,4554.801265,4336.342684,4484.731273,3763.392407,4529.970031,3911.821426,4368.741065,4515.896348
