Profile,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Name,,Santa Maria Basin,Tehachapi Mountains,Great Valley,Ophiolitic Terranes,Sierra Nevada Batholith,Continental Borderland,Ventura Basin,Los Angeles Basin,W Mojave,China Lake Basin,Eastern California Shear Zone,E Mojave,Peninsular Range Batholith,Salton Trough,Proterozoic Terranes
,-11.5,6070.086059,5977.179058,6167.770427,7007.627878,6072.123664,6331.233664,6362.907812,6373.802364,6266.763479,6312.366098,6005.740627,6094.045644,6577.477939,6713.000488,6063.348055
,-11.0,6021.626574,6114.975867,6120.853775,6896.615629,6115.793522,6308.118966,6349.336855,6432.397474,6322.731034,6370.302614,5994.067436,6080.096467,6564.789915,6711.481176,6028.321265
,-10.5,5980.116897,6257.780111,6075.119585,6787.386309,6159.873814,6285.166228,6351.389531,6492.349704,6380.221223,6429.388297,5982.216259,6066.319181,6552.315959,6711.543864,5993.296986
,-10.0,5889.979639,6395.613741,5986.169316,6647.608766,6214.849319,6263.386928,6347.481038,6579.44564,6414.525186,6473.852818,6000.809754,6061.741161,6548.605582,6703.831745,5963.919827
,-9.5,5790.473087,6463.097497,5785.541661,6494.345967,6262.435398,6229.406217,6200.84907,6603.407486,6424.394291,6497.071265,6018.404256,6034.619254,6554.357459,6711.050527,5945.965932
,-9.0,5663.398085,6505.7599,5540.11912,6315.574218,6306.016121,6195.449412,6046.932149,6602.463702,6414.827601,6504.582165,6072.092222,6022.415794,6567.90381,6704.200373,5933.197562
,-8.5,5537.806009,6549.724375,5307.265244,6146.808251,6351.070546,6161.563972,5863.581611,6579.487339,6404.954287,6512.071815,6125.086344,6010.357263,6582.150081,6699.235763,5920.472218
,-8.0,5391.154644,6569.401373,5047.139373,5982.094983,6373.730715,6126.977255,5674.890738,6495.038058,6410.338128,6506.280169,6207.105436,6019.503014,6601.156563,6661.209812,5909.396667
,-7.5,5260.992668,6585.632768,4787.704648,5779.733018,6395.299277,6089.514344,5534.945836,6391.226959,6412.917028,6497.331995,6287.598916,6025.533629,6617.881538,6613.032526,5896.728574
,-7.0,5151.275967,6583.348897,4502.190223,5591.86083,6377.302637,6047.332983,5416.792664,6171.956332,6426.115502,6450.248531,6354.121173,6035.001742,6609.798877,6460.498378,5875.332464
,-6.5,5066.685613,6597.054856,4218.96291,5407.191592,6363.819758,6001.123622,5191.835459,5937.941819,6442.05707,6395.371038,6411.953699,6039.687113,6579.034844,6249.176059,5849.091515
,-6.0,5026.531476,6588.84133,3925.428973,5260.65489,6285.262895,5946.705125,4924.59509,5682.979127,6427.518793,6277.74832,6394.266267,6024.978635,6510.361069,6089.300088,5804.643345
,-5.5,4997.104775,6570.050596,3641.064141,5137.746774,6182.773522,5883.851265,4767.453479,5222.228435,6383.193795,6150.083733,6354.326924,6006.266836,6416.528208,5382.459158,5753.407378
,-5.0,4901.90499,6481.662357,3493.32674,5092.206878,5975.366398,5809.540188,4584.053822,4860.420861,6243.439458,5955.872937,6206.350138,5956.081196,6307.282176,4909.961822,5678.848943
,-4.5,4830.727047,6397.210019,3373.658032,5033.906886,5859.476536,5716.715163,4427.445221,4547.997878,6110.795863,5773.446532,6074.622299,5900.648247,6220.462149,4636.109239,5593.031842
,-4.0,4762.584168,6213.732153,3370.5795,5067.726428,5671.472341,5620.76915,4209.791273,4277.268812,5871.831965,5542.566828,5866.058904,5815.690788,6177.430081,4465.93714,5492.428793
,-3.5,4685.37905,6034.19521,3382.395506,5083.763576,5479.594179,5529.334352,3972.003614,4035.266201,5639.127524,5325.097651,5672.968189,5737.635275,6151.671357,4415.687759,5397.061434
,-3.0,4677.495571,5776.405736,3543.648193,5245.048973,5280.237359,5461.386947,3731.109812,3731.395652,5310.873879,5108.594083,5444.551457,5640.439093,6129.678231,4386.88486,5300.06634
,-2.5,4642.046694,5522.682707,3706.557355,5375.707478,5082.745406,5380.692418,3480.521669,3383.53509,4978.315479,4889.512799,5219.027951,5538.925825,6103.432088,4202.228581,5195.532776
,-2.0,4577.514002,5229.227313,3874.37118,5503.974756,4948.567316,5284.606424,3152.6503,2937.7894,4566.390977,4690.949047,4993.053768,5375.515163,5997.169477,3747.371461,5055.981342
,-1.5,4508.380773,4951.849423,3973.660423,5646.326847,4816.386025,5188.668047,2867.428858,2607.239393,4224.663606,4509.78709,4776.379635,5217.292276,5892.973103,3130.586363,4920.107489
,-1.0,4351.979546,4725.056817,3829.753441,5589.85148,4776.369789,5081.712887,2574.058001,2348.069389,3854.815602,4380.203283,4581.835129,4998.111023,5707.058293,2544.212941,4766.812853
,-0.5,4053.126259,4549.082349,3735.41922,5600.671207,4767.055902,5081.516863,2422.776594,2057.651876,3574.992564,4299.014552,4432.924175,4847.441157,5574.331849,2147.319381,4682.039735
,0.0,3467.149339,4543.266601,3735.171911,5600.672165,4767.020619,5081.57095,1747.164937,1708.185932,3571.578404,4298.634087,4430.931776,4847.423522,5575.450804,1937.841761,4682.040554
